NB,Change, Marker, Request, Result 
1,Rename Class ,Error : ClassifierType CU : ClassCSAttribution.java Line : 21,The class ClassifierType is generated from  The metaclass which ClassifierType is renamed to Metaclass Coevolve this java code snippet according to the described change  :   : import org.eclipse.emf.ecore.EStructuralFeature  import org.eclipse.ocl.examples.pivot.ClassifierType  import org.eclipse.ocl.examples.pivot.Type ,import org.eclipse.emf.ecore.EStructuralFeature   import org.eclipse.ocl.examples.pivot.Metaclass   import org.eclipse.ocl.examples.pivot.Type 
2,Rename class,Error : ClassifierType CU : ClassCSAttribution.java Line : 56,The class ClassifierType is generated from  The metaclass ClassifierType which is renamed to Metaclass Coevolve this java code snippet according to the described change  :   @Override public ScopeView computeLookup(EObject target EnvironmentView environmentView ScopeView scopeView){   ClassCS targetElement=(ClassCS)target    EStructuralFeature containmentFeature=scopeView.getContainmentFeature()    org.eclipse.ocl.examples.pivot.Class pivot=PivotUtil.getPivot(org.eclipse.ocl.examples.pivot.Class.class targetElement)    if (pivot != null) {     if (containmentFeature == BaseCSTPackage.Literals.CLASS_CS__OWNED_SUPER_TYPE) {       environmentView.addElements(PivotUtil.getTypeTemplateParameterables(pivot))      }  else     if (containmentFeature == BaseCSTPackage.Literals.CLASS_CS__OWNED_META_TYPE) {     }  else {       MetaModelManager metaModelManager=environmentView.getMetaModelManager()        if (pivot instanceof ClassifierType) {         Type instanceType=((ClassifierType)pivot).getInstanceType()          environmentView.addNamedElements(metaModelManager.getLocalOperations(instanceType true))          environmentView.addNamedElements(metaModelManager.getLocalProperties(instanceType true))        }       environmentView.addNamedElements(metaModelManager.getLocalOperations(pivot false))        environmentView.addNamedElements(metaModelManager.getLocalProperties(pivot false))        environmentView.addElements(PivotUtil.getTypeTemplateParameterables(pivot))        environmentView.addInheritedContents(pivot scopeView)      }   }   return scopeView.getParent()  }   Give the updated java method only,@Override  public ScopeView computeLookup(EObject target  EnvironmentView environmentView  ScopeView scopeView) {      ClassCS targetElement = (ClassCS) target       EStructuralFeature containmentFeature = scopeView.getContainmentFeature()       org.eclipse.ocl.examples.pivot.Class pivot = PivotUtil.getPivot(org.eclipse.ocl.examples.pivot.Class.class  targetElement)             if (pivot != null) {          if (containmentFeature == BaseCSTPackage.Literals.CLASS_CS__OWNED_SUPER_TYPE) {              environmentView.addElements(PivotUtil.getTypeTemplateParameterables(pivot))           } else if (containmentFeature == BaseCSTPackage.Literals.CLASS_CS__OWNED_META_TYPE) {                        } else {              MetaModelManager metaModelManager = environmentView.getMetaModelManager()               if (pivot instanceof Coevolve) {                  Type instanceType = ((Coevolve) pivot).getInstanceType()                   environmentView.addNamedElements(metaModelManager.getLocalOperations(instanceType  true))                   environmentView.addNamedElements(metaModelManager.getLocalProperties(instanceType  true))               }                            environmentView.addNamedElements(metaModelManager.getLocalOperations(pivot  false))               environmentView.addNamedElements(metaModelManager.getLocalProperties(pivot  false))               environmentView.addElements(PivotUtil.getTypeTemplateParameterables(pivot))               environmentView.addInheritedContents(pivot  scopeView)           }      }            return scopeView.getParent()   }
3,null,,,Hello! How can I assist you today?
4,Rename class,Error : ClassifierType CU : ClassCSAttribution.java Line : 57,The class ClassifierType is generated from  The metaclass ClassifierType which is renamed to Metaclass Coevolve this java code snippet according to the described change  :   @Override public ScopeView computeLookup(EObject target EnvironmentView environmentView ScopeView scopeView){   ClassCS targetElement=(ClassCS)target    EStructuralFeature containmentFeature=scopeView.getContainmentFeature()    org.eclipse.ocl.examples.pivot.Class pivot=PivotUtil.getPivot(org.eclipse.ocl.examples.pivot.Class.class targetElement)    if (pivot != null) {     if (containmentFeature == BaseCSTPackage.Literals.CLASS_CS__OWNED_SUPER_TYPE) {       environmentView.addElements(PivotUtil.getTypeTemplateParameterables(pivot))      }  else     if (containmentFeature == BaseCSTPackage.Literals.CLASS_CS__OWNED_META_TYPE) {     }  else {       MetaModelManager metaModelManager=environmentView.getMetaModelManager()        if (pivot instanceof ClassifierType) {         Type instanceType=((ClassifierType)pivot).getInstanceType()          environmentView.addNamedElements(metaModelManager.getLocalOperations(instanceType true))          environmentView.addNamedElements(metaModelManager.getLocalProperties(instanceType true))        }       environmentView.addNamedElements(metaModelManager.getLocalOperations(pivot false))        environmentView.addNamedElements(metaModelManager.getLocalProperties(pivot false))        environmentView.addElements(PivotUtil.getTypeTemplateParameterables(pivot))        environmentView.addInheritedContents(pivot scopeView)      }   }   return scopeView.getParent()  }   Give the updated java method only,@Override  public ScopeView computeLookup(EObject target  EnvironmentView environmentView  ScopeView scopeView) {      ClassCS targetElement = (ClassCS) target       EStructuralFeature containmentFeature = scopeView.getContainmentFeature()       org.eclipse.ocl.examples.pivot.Class pivot = PivotUtil.getPivot(org.eclipse.ocl.examples.pivot.Class.class  targetElement)       if (pivot != null) {          if (containmentFeature == BaseCSTPackage.Literals.CLASS_CS__OWNED_SUPER_TYPE) {              environmentView.addElements(PivotUtil.getTypeTemplateParameterables(pivot))           } else if (containmentFeature == BaseCSTPackage.Literals.CLASS_CS__OWNED_META_TYPE) {          } else {              MetaModelManager metaModelManager = environmentView.getMetaModelManager()               if (pivot instanceof Coevolve) {                  Type instanceType = ((ClassifierType) pivot).getInstanceType()                   environmentView.addNamedElements(metaModelManager.getLocalOperations(instanceType  true))                   environmentView.addNamedElements(metaModelManager.getLocalProperties(instanceType  true))               }              environmentView.addNamedElements(metaModelManager.getLocalOperations(pivot  false))               environmentView.addNamedElements(metaModelManager.getLocalProperties(pivot  false))               environmentView.addElements(PivotUtil.getTypeTemplateParameterables(pivot))               environmentView.addInheritedContents(pivot  scopeView)           }      }      return scopeView.getParent()   }
5,Delete property,Error : setStereotype CU : BasePostOrderVisitor.java Line : 155,The method setStereotype is generated from the attribute stereotype The attribute stereotype is removed from the class Constraint and the usages of this method must be removed   Coevolve this java code snippet according to the described change  :   :,public class Constraint {      // stereotype attribute removed            // setStereotype method removed            // other attributes and methods  }
6,Push property,Error : getOwnedRule CU : BasePostOrderVisitor.java Line : 316,The method getOwnedRule is generated from the attribute ownedRule This attribute is pushed from the super class NamedElement to the subclass : Namespace Coevolve this java code snippet according to the described change  :  : context.refreshPivotList(Constraint.class pivotElement.getOwnedRule() csTypedElement.getOwnedConstraint()) ,// Before the change  context.refreshPivotList(Constraint.class  pivotElement.getOwnedRule()  csTypedElement.getOwnedConstraint())     // After the change  context.refreshPivotList(Constraint.class  ((NamedElement)pivotElement).getOwnedRule()  ((Namespace)csTypedElement).getOwnedConstraint()) 
7,Push property,Error : getOwnedRule CU : BasePostOrderVisitor.java Line : 148,The method getOwnedRule is generated from the attribute ownedRule This attribute is pushed from the super class NamedElement to the subclass : Namespace Coevolve this java code snippet according to the described change  :  : context.refreshPivotList(Constraint.class pivotElement.getOwnedRule() csClassifier.getOwnedConstraint()) ,context.refreshPivotList(Constraint.class  pivotElement.getOwnedRule()  ((Namespace)csClassifier).getOwnedRule()) 
8,Rename Class ,Error : ClassifierType CU : PivotHasSuperClassesDependency.java Line : 22,The class ClassifierType is generated from  The metaclass which ClassifierType is renamed to Metaclass Coevolve this java code snippet according to the described change  :   : import org.eclipse.ocl.examples.pivot.AnyType  import org.eclipse.ocl.examples.pivot.ClassifierType  import org.eclipse.ocl.examples.pivot.CollectionType ,import org.eclipse.ocl.examples.pivot.AnyType   import org.eclipse.ocl.examples.pivot.Metaclass  // changed ClassifierType to Metaclass  import org.eclipse.ocl.examples.pivot.CollectionType 
9,Rename class,Error : ClassifierType CU : PivotHasSuperClassesDependency.java Line : 49,The class ClassifierType is generated from  The metaclass ClassifierType which is renamed to Metaclass Coevolve this java code snippet according to the described change  :   @Override public boolean canExecute(){   Type pivot=element.getType()    if (pivot == null) {     return false    }   Type type=PivotUtil.getUnspecializedTemplateableElement(pivot)    assert type == pivot    if (type instanceof AnyType) {     return true    }   if ((type instanceof DataType) && !(type instanceof CollectionType) && !(type instanceof ClassifierType)) {     return true    }   if (type instanceof InvalidType) {     return true    }   if (type instanceof UnspecifiedType) {     return true    }   if (type instanceof VoidType) {     return true    }   List<Type> superClasses=type.getSuperClass()    return !superClasses.isEmpty()  }   Give the updated java method only,@Override  public boolean canExecute(){    Coevolve pivot=element.getType()     if (pivot == null) {      return false     }    Coevolve type=PivotUtil.getUnspecializedTemplateableElement(pivot)     assert type == pivot     if (type instanceof AnyType) {      return true     }    if ((type instanceof DataType) && !(type instanceof CollectionType) && !(type instanceof Coevolve)) {      return true     }    if (type instanceof InvalidType) {      return true     }    if (type instanceof UnspecifiedType) {      return true     }    if (type instanceof VoidType) {      return true     }    List<Coevolve> superClasses=type.getSuperClass()     return !superClasses.isEmpty()   }
10,null,,,Hello! How can I assist you today?
