NB,Change, Marker, Request, Result 
1,Rename Class ,Error : PostActionConfiguration CU : ApplyStereotypeActionConfiguration.java Line : 10,The class PostActionConfiguration is generated from  The metaclass which PostActionConfiguration is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :     Give the updated java method only,public void formatPostActionConfiguration(SemanticActionConfiguration config) {     // method implementation  }
2,Rename class,Error : PostActionConfiguration CU : ApplyStereotypeActionConfiguration.java Line : 28,The class PostActionConfiguration is generated from  The metaclass PostActionConfiguration which is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :    OTHER CODE DETECTED   Give the updated java method only,public class SemanticActionConfiguration {      // code for SemanticActionConfiguration class  }
3,Rename class,Error : POST_ACTION_CONFIGURATION__LABEL CU : ApplyStereotypeActionConfigurationPackage.java Line : 80,The literal POST_ACTION_CONFIGURATION is generated from The metaclass PostActionConfigurationThis metaclass called PostActionConfiguration is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :   /**   * The feature id for the '<em><b>Label</b></em>' attribute. <!-- begin-user-doc --> <!-- end-user-doc -->  * @generated  * @ordered  */ int APPLY_STEREOTYPE_ACTION_CONFIGURATION__LABEL=ExtendedtypesPackage.POST_ACTION_CONFIGURATION__LABEL    Give the updated java method only,int APPLY_STEREOTYPE_ACTION_CONFIGURATION__LABEL = ExtendedtypesPackage.SEMANTIC_ACTION_CONFIGURATION__LABEL 
4,Rename class,Error : POST_ACTION_CONFIGURATION__ID CU : ApplyStereotypeActionConfigurationPackage.java Line : 89,The literal POST_ACTION_CONFIGURATION is generated from The metaclass PostActionConfigurationThis metaclass called PostActionConfiguration is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :   /**   * The feature id for the '<em><b>Id</b></em>' attribute. <!-- begin-user-doc --> <!-- end-user-doc -->  * @generated  * @ordered  */ int APPLY_STEREOTYPE_ACTION_CONFIGURATION__ID=ExtendedtypesPackage.POST_ACTION_CONFIGURATION__ID    Give the updated java method only,int APPLY_STEREOTYPE_ACTION_CONFIGURATION__ID = ExtendedtypesPackage.SEMANTIC_ACTION_CONFIGURATION__ID 
5,Rename class,Error : POST_ACTION_CONFIGURATION_FEATURE_COUNT CU : ApplyStereotypeActionConfigurationPackage.java Line : 98,The literal POST_ACTION_CONFIGURATION is generated from The metaclass PostActionConfigurationThis metaclass called PostActionConfiguration is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :   /**   * The feature id for the '<em><b>Stereotypes To Apply</b></em>' containment reference list. <!-- begin-user-doc --> <!-- end-user-doc -->  * @generated  * @ordered  */ int APPLY_STEREOTYPE_ACTION_CONFIGURATION__STEREOTYPES_TO_APPLY=ExtendedtypesPackage.POST_ACTION_CONFIGURATION_FEATURE_COUNT + 0    Give the updated java method only,/**   * The feature id for the '<em><b>Stereotypes To Apply</b></em>' containment reference list. <!-- begin-user-doc --> <!-- end-user-doc -->   * @generated   * @ordered   */  int APPLY_STEREOTYPE_ACTION_CONFIGURATION__STEREOTYPES_TO_APPLY=ExtendedtypesPackage.SEMANTIC_ACTION_CONFIGURATION_FEATURE_COUNT + 0 
6,Rename class,Error : POST_ACTION_CONFIGURATION_FEATURE_COUNT CU : ApplyStereotypeActionConfigurationPackage.java Line : 107,The literal POST_ACTION_CONFIGURATION is generated from The metaclass PostActionConfigurationThis metaclass called PostActionConfiguration is renamed to SemanticActionConfiguration Coevolve this java code snippet according to the described change  :   /**   * The number of structural features of the '<em>Apply Stereotype Action Configuration</em>' class. <!-- begin-user-doc --> <!-- end-user-doc -->  * @generated  * @ordered  */ int APPLY_STEREOTYPE_ACTION_CONFIGURATION_FEATURE_COUNT=ExtendedtypesPackage.POST_ACTION_CONFIGURATION_FEATURE_COUNT + 1    Give the updated java method only,/**    * The number of structural features of the '<em>Apply Stereotype Action Configuration</em>' class. <!-- begin-user-doc --> <!-- end-user-doc -->   * @generated   * @ordered   */  int APPLY_STEREOTYPE_ACTION_CONFIGURATION_FEATURE_COUNT=ExtendedtypesPackage.SEMANTIC_ACTION_CONFIGURATION_FEATURE_COUNT + 1 
7,null,,,Hello! How can I assist you today?
8,null,,,Hello! How can I assist you today?
9,null,,,Hello! How can I assist you today?
10,null,,,Hello! How can I assist you today?
